Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Molar Extinction Coefficients(M^-1 cm^-1)
 30169.36398547    331.46206736      3.74052577   1595.86710247
 30174.03039366    331.41080681      3.74110433   1653.98831780
 30178.69680184    331.35956212      3.74168289   1714.46788401
 30183.36321003    331.30833327      3.74226145   1777.35648121
 30188.02961822    331.25712026      3.74284002   1842.70975908
 30192.69602641    331.20592308      3.74341858   1910.58871260
 30197.36243460    331.15474172      3.74399714   1981.06001789
 30202.02884279    331.10357617      3.74457570   2054.19632128
 30206.69525097    331.05242644      3.74515426   2130.07647541
 30211.36165916    331.00129251      3.74573282   2208.78571566
 30216.02806735    330.95017437      3.74631138   2290.41577077
 30220.69447554    330.89907201      3.74688994   2375.06490165
 30225.36088373    330.84798544      3.74746850   2462.83786267
 30230.02729192    330.79691464      3.74804707   2553.84578028
 30234.69370010    330.74585960      3.74862563   2648.20594416
 30239.36010829    330.69482032      3.74920419   2746.04150671
 30244.02651648    330.64379679      3.74978275   2847.48108751
 30248.69292467    330.59278900      3.75036131   2952.65827983
 30253.35933286    330.54179695      3.75093987   3061.71105732
 30258.02574105    330.49082062      3.75151843   3174.78107985
 30262.69214923    330.43986002      3.75209699   3292.01289822
 30267.35855742    330.38891513      3.75267555   3413.55305864
 30272.02496561    330.33798594      3.75325412   3539.54910897
 30276.69137380    330.28707246      3.75383268   3670.14850947
 30281.35778199    330.23617467      3.75441124   3805.49745233
 30286.02419018    330.18529256      3.75498980   3945.73959497
 30290.69059836    330.13442612      3.75556836   4091.01471351
 30295.35700655    330.08357536      3.75614692   4241.45728384
 30300.02341474    330.03274026      3.75672548   4397.19499864
 30304.68982293    329.98192082      3.75730404   4558.34723007
 30309.35623112    329.93111702      3.75788260   4725.02344861
 30314.02263931    329.88032887      3.75846117   4897.32160944
 30318.68904749    329.82955635      3.75903973   5075.32651898
 30323.35545568    329.77879945      3.75961829   5259.10819447
 30328.02186387    329.72805818      3.76019685   5448.72023062
 30332.68827206    329.67733252      3.76077541   5644.19818751
 30337.35468025    329.62662246      3.76135397   5845.55801481
 30342.02108844    329.57592800      3.76193253   6052.79452716
 30346.68749662    329.52524913      3.76251109   6265.87994634
 30351.35390481    329.47458584      3.76308965   6484.76252513
 30356.02031300    329.42393813      3.76366822   6709.36526841
 30360.68672119    329.37330599      3.76424678   6939.58476604
 30365.35312938    329.32268941      3.76482534   7175.29015212
 30370.01953757    329.27208839      3.76540390   7416.32220426
 30374.68594575    329.22150291      3.76598246   7662.49259587
 30379.35235394    329.17093298      3.76656102   7913.58331353
 30384.01876213    329.12037857      3.76713958   8169.34625032
 30388.68517032    329.06983970      3.76771814   8429.50298488
 30393.35157851    329.01931634      3.76829670   8693.74475443
 30398.01798670    328.96880849      3.76887527   8961.73262869
 30402.68439488    328.91831615      3.76945383   9233.09788997
 30407.35080307    328.86783930      3.77003239   9507.44262289
 30412.01721126    328.81737795      3.77061095   9784.34051556
 30416.68361945    328.76693208      3.77118951  10063.33787242
 30421.35002764    328.71650168      3.77176807  10343.95483648
