Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Molar Extinction Coefficients(M^-1 cm^-1)
 35699.05768862    280.11943186      4.42612066    155.37722122
 35703.72409681    280.08282079      4.42669922    152.66531097
 35708.39050500    280.04621928      4.42727778    150.00771842
 35713.05691319    280.00962734      4.42785635    147.40452757
 35717.72332138    279.97304497      4.42843491    144.85579727
 35722.38972957    279.93647215      4.42901347    142.36156133
 35727.05613775    279.89990888      4.42959203    139.92182877
 35731.72254594    279.86335517      4.43017059    137.53658426
 35736.38895413    279.82681100      4.43074915    135.20578864
 35741.05536232    279.79027637      4.43132771    132.92937949
 35745.72177051    279.75375128      4.43190627    130.70727197
 35750.38817870    279.71723573      4.43248483    128.53935954
 35755.05458688    279.68072971      4.43306340    126.42551497
 35759.72099507    279.64423321      4.43364196    124.36559124
 35764.38740326    279.60774624      4.43422052    122.35942266
 35769.05381145    279.57126879      4.43479908    120.40682589
 35773.72021964    279.53480086      4.43537764    118.50760110
 35778.38662782    279.49834244      4.43595620    116.66153308
 35783.05303601    279.46189353      4.43653476    114.86839242
 35787.71944420    279.42545412      4.43711332    113.12793662
 35792.38585239    279.38902421      4.43769188    111.43991121
 35797.05226058    279.35260381      4.43827045    109.80405085
 35801.71866877    279.31619289      4.43884901    108.22008033
 35806.38507695    279.27979147      4.43942757    106.68771561
 35811.05148514    279.24339953      4.44000613    105.20666469
 35815.71789333    279.20701708      4.44058469    103.77662848
 35820.38430152    279.17064411      4.44116325    102.39730154
 35825.05070971    279.13428061      4.44174181    101.06837279
 35829.71711790    279.09792658      4.44232037     99.78952605
 35834.38352608    279.06158202      4.44289893     98.56044056
 35839.04993427    279.02524693      4.44347750     97.38079134
 35843.71634246    278.98892129      4.44405606     96.25024951
 35848.38275065    278.95260512      4.44463462     95.16848247
 35853.04915884    278.91629840      4.44521318     94.13515400
 35857.71556703    278.88000112      4.44579174     93.14992430
 35862.38197521    278.84371330      4.44637030     92.21244990
 35867.04838340    278.80743491      4.44694886     91.32238356
 35871.71479159    278.77116596      4.44752742     90.47937403
 35876.38119978    278.73490645      4.44810598     89.68306584
 35881.04760797    278.69865637      4.44868454     88.93309894
 35885.71401616    278.66241572      4.44926311     88.22910845
 35890.38042434    278.62618449      4.44984167     87.57072424
 35895.04683253    278.58996268      4.45042023     86.95757062
 35899.71324072    278.55375029      4.45099879     86.38926596
 35904.37964891    278.51754731      4.45157735     85.86542238
 35909.04605710    278.48135374      4.45215591     85.38564542
 35913.71246529    278.44516958      4.45273447     84.94953378
 35918.37887347    278.40899482      4.45331303     84.55667911
 35923.04528166    278.37282945      4.45389159     84.20666585
 35927.71168985    278.33667348      4.45447016     83.89907117
 35932.37809804    278.30052690      4.45504872     83.63346490
 35937.04450623    278.26438971      4.45562728     83.40940968
 35941.71091442    278.22826190      4.45620584     83.22646104
 35946.37732260    278.19214348      4.45678440     83.08416772
 35951.04373079    278.15603442      4.45736296     82.98207195
 35955.71013898    278.11993475      4.45794152     82.91970992
 35960.37654717    278.08384444      4.45852008     82.89661228
 35965.04295536    278.04776349      4.45909864     82.91230471
 35969.70936355    278.01169191      4.45967721     82.96630865
 35974.37577173    277.97562968      4.46025577     83.05814199
 35979.04217992    277.93957681      4.46083433     83.18731992
 35983.70858811    277.90353329      4.46141289     83.35335576
 35988.37499630    277.86749912      4.46199145     83.55576187
 35993.04140449    277.83147429      4.46257001     83.79405059
 35997.70781268    277.79545880      4.46314857     84.06773513
 36002.37422086    277.75945265      4.46372713     84.37633060
 36007.04062905    277.72345583      4.46430569     84.71935485
 36011.70703724    277.68746833      4.46488426     85.09632943
 36016.37344543    277.65149017      4.46546282     85.50678045
 36021.03985362    277.61552132      4.46604138     85.95023936
 36025.70626181    277.57956180      4.46661994     86.42624373
 36030.37266999    277.54361159      4.46719850     86.93433788
 36035.03907818    277.50767068      4.46777706     87.47407347
 36039.70548637    277.47173909      4.46835562     88.04500993
 36044.37189456    277.43581680      4.46893418     88.64671487
 36049.03830275    277.39990381      4.46951274     89.27876426
 36053.70471094    277.36400011      4.47009131     89.94074255
 36058.37111912    277.32810571      4.47066987     90.63224266
 36063.03752731    277.29222060      4.47124843     91.35286577
 36067.70393550    277.25634478      4.47182699     92.10222105
 36072.37034369    277.22047823      4.47240555     92.87992521
 36077.03675188    277.18462096      4.47298411     93.68560191
 36081.70316007    277.14877297      4.47356267     94.51888104
 36086.36956825    277.11293425      4.47414123     95.37939790
 36091.03597644    277.07710480      4.47471979     96.26679221
 36095.70238463    277.04128461      4.47529836     97.18070701
 36100.36879282    277.00547368      4.47587692     98.12078755
 36105.03520101    276.96967201      4.47645548     99.08667989
 36109.70160920    276.93387959      4.47703404    100.07802964
 36114.36801738    276.89809642      4.47761260    101.09448045
 36119.03442557    276.86232250      4.47819116    102.13567253
 36123.70083376    276.82655782      4.47876972    103.20124112
 36128.36724195    276.79080238      4.47934828    104.29081487
 36133.03365014    276.75505617      4.47992684    105.40401428
 36137.70005833    276.71931920      4.48050540    106.54045005
 36142.36646651    276.68359145      4.48108397    107.69972153
 36147.03287470    276.64787293      4.48166253    108.88141510
 36151.69928289    276.61216363      4.48224109    110.08510262
 36156.36569108    276.57646355      4.48281965    111.31033994
 36161.03209927    276.54077268      4.48339821    112.55666543
 36165.69850746    276.50509102      4.48397677    113.82359859
 36170.36491564    276.46941857      4.48455533    115.11063874
 36175.03132383    276.43375532      4.48513389    116.41726375
 36179.69773202    276.39810127      4.48571245    117.74292888
 36184.36414021    276.36245641      4.48629102    119.08706575
 36189.03054840    276.32682075      4.48686958    120.44908130
 36193.69695659    276.29119428      4.48744814    121.82835693
 36198.36336477    276.25557699      4.48802670    123.22424772
 36203.02977296    276.21996889      4.48860526    124.63608174
 36207.69618115    276.18436996      4.48918382    126.06315941
 36212.36258934    276.14878021      4.48976238    127.50475308
 36217.02899753    276.11319963      4.49034094    128.96010655
 36221.69540572    276.07762822      4.49091950    130.42843480
 36226.36181390    276.04206597      4.49149807    131.90892374
 36231.02822209    276.00651288      4.49207663    133.40073009
 36235.69463028    275.97096895      4.49265519    134.90298131
 36240.36103847    275.93543417      4.49323375    136.41477564
 36245.02744666    275.89990854      4.49381231    137.93518215
 36249.69385484    275.86439206      4.49439087    139.46324098
 36254.36026303    275.82888472      4.49496943    140.99796352
 36259.02667122    275.79338652      4.49554799    142.53833273
 36263.69307941    275.75789746      4.49612655    144.08330355
 36268.35948760    275.72241752      4.49670512    145.63180330
 36273.02589579    275.68694672      4.49728368    147.18273220
 36277.69230397    275.65148504      4.49786224    148.73496393
 36282.35871216    275.61603249      4.49844080    150.28734628
 36287.02512035    275.58058905      4.49901936    151.83870185
 36291.69152854    275.54515473      4.49959792    153.38782882
 36296.35793673    275.50972952      4.50017648    154.93350182
 36301.02434492    275.47431341      4.50075504    156.47447281
 36305.69075310    275.43890641      4.50133360    158.00947215
 36310.35716129    275.40350851      4.50191217    159.53720963
 36315.02356948    275.36811971      4.50249073    161.05637572
 36319.68997767    275.33274000      4.50306929    162.56564278
 36324.35638586    275.29736938      4.50364785    164.06366648
 36329.02279405    275.26200785      4.50422641    165.54908728
 36333.68920223    275.22665540      4.50480497    167.02053202
 36338.35561042    275.19131203      4.50538353    168.47661558
 36343.02201861    275.15597774      4.50596209    169.91594275
 36347.68842680    275.12065252      4.50654065    171.33711013
 36352.35483499    275.08533637      4.50711921    172.73870819
 36357.02124318    275.05002928      4.50769778    174.11932340
 36361.68765136    275.01473126      4.50827634    175.47754055
 36366.35405955    274.97944229      4.50885490    176.81194515
 36371.02046774    274.94416238      4.50943346    178.12112587
 36375.68687593    274.90889153      4.51001202    179.40367721
 36380.35328412    274.87362972      4.51059058    180.65820215
 36385.01969231    274.83837695      4.51116914    181.88331500
 36389.68610049    274.80313323      4.51174770    183.07764421
 36394.35250868    274.76789854      4.51232626    184.23983535
 36399.01891687    274.73267289      4.51290483    185.36855409
 36403.68532506    274.69745627      4.51348339    186.46248922
 36408.35173325    274.66224867      4.51406195    187.52035577
 36413.01814144    274.62705010      4.51464051    188.54089803
 36417.68454962    274.59186055      4.51521907    189.52289267
 36422.35095781    274.55668002      4.51579763    190.46515177
 36427.01736600    274.52150850      4.51637619    191.36652587
 36431.68377419    274.48634599      4.51695475    192.22590689
 36436.35018238    274.45119249      4.51753331    193.04223108
 36441.01659057    274.41604799      4.51811188    193.81448177
 36445.68299875    274.38091249      4.51869044    194.54169211
 36450.34940694    274.34578599      4.51926900    195.22294761
 36455.01581513    274.31066848      4.51984756    195.85738863
 36459.68222332    274.27555996      4.52042612    196.44421260
 36464.34863151    274.24046042      4.52100468    196.98267618
 36469.01503970    274.20536987      4.52158324    197.47209717
 36473.68144788    274.17028829      4.52216180    197.91185630
 36478.34785607    274.13521569      4.52274036    198.30139872
 36483.01426426    274.10015206      4.52331893    198.64023540
 36487.68067245    274.06509741      4.52389749    198.92794422
 36492.34708064    274.03005171      4.52447605    199.16417088
 36497.01348883    273.99501498      4.52505461    199.34862962
 36501.67989701    273.95998721      4.52563317    199.48110365
 36506.34630520    273.92496839      4.52621173    199.56144543
 36511.01271339    273.88995852      4.52679029    199.58957665
 36515.67912158    273.85495760      4.52736885    199.56548810
 36520.34552977    273.81996563      4.52794741    199.48923922
 36525.01193796    273.78498259      4.52852598    199.36095754
 36529.67834614    273.75000850      4.52910454    199.18083786
 36534.34475433    273.71504333      4.52968310    198.94914126
 36539.01116252    273.68008710      4.53026166    198.66619397
 36543.67757071    273.64513980      4.53084022    198.33238601
 36548.34397890    273.61020142      4.53141878    197.94816973
 36553.01038709    273.57527196      4.53199734    197.51405819
 36557.67679527    273.54035142      4.53257590    197.03062338
 36562.34320346    273.50543979      4.53315446    196.49849438
 36567.00961165    273.47053707      4.53373303    195.91835535
 36571.67601984    273.43564326      4.53431159    195.29094344
 36576.34242803    273.40075835      4.53489015    194.61704668
 36581.00883622    273.36588235      4.53546871    193.89750169
 36585.67524440    273.33101523      4.53604727    193.13319140
 36590.34165259    273.29615702      4.53662583    192.32504271
 36595.00806078    273.26130769      4.53720439    191.47402407
 36599.67446897    273.22646725      4.53778295    190.58114309
 36604.34087716    273.19163569      4.53836151    189.64744401
 36609.00728535    273.15681301      4.53894007    188.67400530
 36613.67369353    273.12199921      4.53951864    187.66193711
 36618.34010172    273.08719428      4.54009720    186.61237880
 36623.00650991    273.05239822      4.54067576    185.52649641
 36627.67291810    273.01761103      4.54125432    184.40548020
 36632.33932629    272.98283270      4.54183288    183.25054209
 36637.00573448    272.94806322      4.54241144    182.06291322
 36641.67214266    272.91330261      4.54299000    180.84384144
 36646.33855085    272.87855085      4.54356856    179.59458886
 36651.00495904    272.84380793      4.54414712    178.31642941
 36655.67136723    272.80907386      4.54472569    177.01064638
 36660.33777542    272.77434864      4.54530425    175.67853005
 36665.00418361    272.73963225      4.54588281    174.32137528
 36669.67059179    272.70492470      4.54646137    172.94047919
 36674.33699998    272.67022598      4.54703993    171.53713877
 36679.00340817    272.63553609      4.54761849    170.11264866
 36683.66981636    272.60085503      4.54819705    168.66829884
 36688.33622455    272.56618279      4.54877561    167.20537245
 36693.00263274    272.53151937      4.54935417    165.72514358
 36697.66904092    272.49686476      4.54993274    164.22887518
 36702.33544911    272.46221896      4.55051130    162.71781699
 36707.00185730    272.42758198      4.55108986    161.19320347
 36711.66826549    272.39295380      4.55166842    159.65625194
 36716.33467368    272.35833442      4.55224698    158.10816063
 36721.00108186    272.32372384      4.55282554    156.55010688
 36725.66749005    272.28912205      4.55340410    154.98324547
 36730.33389824    272.25452906      4.55398266    153.40870691
 36735.00030643    272.21994485      4.55456122    151.82759594
 36739.66671462    272.18536943      4.55513979    150.24099007
 36744.33312281    272.15080280      4.55571835    148.64993821
 36748.99953099    272.11624494      4.55629691    147.05545947
 36753.66593918    272.08169585      4.55687547    145.45854200
 36758.33234737    272.04715554      4.55745403    143.86014201
 36762.99875556    272.01262400      4.55803259    142.26118285
 36767.66516375    271.97810122      4.55861115    140.66255428
 36772.33157194    271.94358721      4.55918971    139.06511180
 36776.99798012    271.90908195      4.55976827    137.46967616
 36781.66438831    271.87458545      4.56034684    135.87703295
 36786.33079650    271.84009770      4.56092540    134.28793237
 36790.99720469    271.80561869      4.56150396    132.70308909
 36795.66361288    271.77114844      4.56208252    131.12318221
 36800.33002107    271.73668692      4.56266108    129.54885547
 36804.99642925    271.70223415      4.56323964    127.98071736
 36809.66283744    271.66779011      4.56381820    126.41934157
 36814.32924563    271.63335480      4.56439676    124.86526742
 36818.99565382    271.59892822      4.56497532    123.31900041
 36823.66206201    271.56451036      4.56555389    121.78101287
 36828.32847020    271.53010123      4.56613245    120.25174477
 36832.99487838    271.49570081      4.56671101    118.73160449
 36837.66128657    271.46130911      4.56728957    117.22096979
 36842.32769476    271.42692613      4.56786813    115.72018873
 36846.99410295    271.39255185      4.56844669    114.22958076
 36851.66051114    271.35818628      4.56902525    112.74943781
 36856.32691933    271.32382941      4.56960381    111.28002537
 36860.99332751    271.28948123      4.57018237    109.82158372
 36865.65973570    271.25514176      4.57076093    108.37432910
 36870.32614389    271.22081097      4.57133950    106.93845493
 36874.99255208    271.18648888      4.57191806    105.51413304
 36879.65896027    271.15217547      4.57249662    104.10151488
 36884.32536846    271.11787074      4.57307518    102.70073277
 36888.99177664    271.08357469      4.57365374    101.31190112
 36893.65818483    271.04928732      4.57423230     99.93511763
 36898.32459302    271.01500862      4.57481086     98.57046445
 36902.99100121    270.98073859      4.57538942     97.21800937
 36907.65740940    270.94647722      4.57596798     95.87780693
 36912.32381759    270.91222452      4.57654655     94.54989955
 36916.99022577    270.87798048      4.57712511     93.23431855
 36921.65663396    270.84374509      4.57770367     91.93108517
 36926.32304215    270.80951835      4.57828223     90.64021159
 36930.98945034    270.77530027      4.57886079     89.36170187
 36935.65585853    270.74109083      4.57943935     88.09555279
 36940.32226672    270.70689003      4.58001791     86.84175476
 36944.98867490    270.67269787      4.58059647     85.60029263
 36949.65508309    270.63851435      4.58117503     84.37114641
 36954.32149128    270.60433947      4.58175360     83.15429203
 36958.98789947    270.57017321      4.58233216     81.94970201
 36963.65430766    270.53601558      4.58291072     80.75734610
 36968.32071585    270.50186657      4.58348928     79.57719186
 36972.98712403    270.46772618      4.58406784     78.40920524
 36977.65353222    270.43359441      4.58464640     77.25335107
 36982.31994041    270.39947125      4.58522496     76.10959354
 36986.98634860    270.36535671      4.58580352     74.97789668
 36991.65275679    270.33125076      4.58638208     73.85822469
 36996.31916498    270.29715343      4.58696065     72.75054237
 37000.98557316    270.26306469      4.58753921     71.65481543
 37005.65198135    270.22898455      4.58811777     70.57101078
 37010.31838954    270.19491301      4.58869633     69.49909683
 37014.98479773    270.16085005      4.58927489     68.43904367
 37019.65120592    270.12679568      4.58985345     67.39082336
 37024.31761411    270.09274990      4.59043201     66.35441000
 37028.98402229    270.05871270      4.59101057     65.32977996
 37033.65043048    270.02468407      4.59158913     64.31691197
 37038.31683867    269.99066402      4.59216770     63.31578717
 37042.98324686    269.95665254      4.59274626     62.32638924
 37047.64965505    269.92264963      4.59332482     61.34870435
 37052.31606324    269.88865529      4.59390338     60.38272124
 37056.98247142    269.85466950      4.59448194     59.42843115
 37061.64887961    269.82069228      4.59506050     58.48582782
 37066.31528780    269.78672360      4.59563906     57.55490736
 37070.98169599    269.75276348      4.59621762     56.63566822
 37075.64810418    269.71881191      4.59679618     55.72811106
 37080.31451237    269.68486889      4.59737474     54.83223857
 37084.98092055    269.65093440      4.59795331     53.94805541
 37089.64732874    269.61700846      4.59853187     53.07556797
 37094.31373693    269.58309105      4.59911043     52.21478420
 37098.98014512    269.54918217      4.59968899     51.36571345
 37103.64655331    269.51528183      4.60026755     50.52836623
 37108.31296150    269.48139000      4.60084611     49.70275398
 37112.97936968    269.44750671      4.60142467     48.88888891
 37117.64577787    269.41363193      4.60200323     48.08678369
 37122.31218606    269.37976566      4.60258179     47.29645127
 37126.97859425    269.34590791      4.60316036     46.51790466
 37131.64500244    269.31205867      4.60373892     45.75115663
 37136.31141063    269.27821794      4.60431748     44.99621958
 37140.97781881    269.24438571      4.60489604     44.25310521
 37145.64422700    269.21056198      4.60547460     43.52182439
 37150.31063519    269.17674675      4.60605316     42.80238692
 37154.97704338    269.14294001      4.60663172     42.09480134
 37159.64345157    269.10914177      4.60721028     41.39907471
 37164.30985976    269.07535201      4.60778884     40.71521250
 37168.97626794    269.04157073      4.60836741     40.04321840
 37173.64267613    269.00779794      4.60894597     39.38309414
 37178.30908432    268.97403362      4.60952453     38.73483943
 37182.97549251    268.94027778      4.61010309     38.09845180
 37187.64190070    268.90653041      4.61068165     37.47392650
 37192.30830888    268.87279151      4.61126021     36.86125645
 37196.97471707    268.83906107      4.61183877     36.26043211
 37201.64112526    268.80533910      4.61241733     35.67144147
 37206.30753345    268.77162558      4.61299589     35.09427001
 37210.97394164    268.73792052      4.61357446     34.52890061
 37215.64034983    268.70422391      4.61415302     33.97531360
 37220.30675801    268.67053575      4.61473158     33.43348666
 37224.97316620    268.63685604      4.61531014     32.90339491
 37229.63957439    268.60318477      4.61588870     32.38501083
 37234.30598258    268.56952194      4.61646726     31.87830428
 37238.97239077    268.53586755      4.61704582     31.38324253
 37243.63879896    268.50222159      4.61762438     30.89979026
 37248.30520714    268.46858406      4.61820294     30.42790955
 37252.97161533    268.43495496      4.61878151     29.96755987
 37257.63802352    268.40133428      4.61936007     29.51869813
 37262.30443171    268.36772202      4.61993863     29.08127865
 37266.97083990    268.33411818      4.62051719     28.65525314
 37271.63724809    268.30052275      4.62109575     28.24057068
 37276.30365627    268.26693574      4.62167431     27.83717777
 37280.97006446    268.23335713      4.62225287     27.44501818
 37285.63647265    268.19978693      4.62283143     27.06403304
 37290.30288084    268.16622513      4.62340999     26.69416070
 37294.96928903    268.13267173      4.62398856     26.33533675
 37299.63569722    268.09912673      4.62456712     25.98749389
 37304.30210540    268.06559011      4.62514568     25.65056193
 37308.96851359    268.03206189      4.62572424     25.32446769
 37313.63492178    267.99854205      4.62630280     25.00913494
 37318.30132997    267.96503059      4.62688136     24.70448428
 37322.96773816    267.93152752      4.62745992     24.41043312
 37327.63414635    267.89803282      4.62803848     24.12689556
 37332.30055453    267.86454649      4.62861704     23.85378229
 37336.96696272    267.83106854      4.62919560     23.59100057
 37341.63337091    267.79759895      4.62977417     23.33845409
 37346.29977910    267.76413773      4.63035273     23.09604294
 37350.96618729    267.73068486      4.63093129     22.86366354
 37355.63259548    267.69724036      4.63150985     22.64120857
 37360.29900366    267.66380421      4.63208841     22.42856692
 37364.96541185    267.63037641      4.63266697     22.22562369
 37369.63182004    267.59695696      4.63324553     22.03226013
 37374.29822823    267.56354585      4.63382409     21.84835367
 37378.96463642    267.53014309      4.63440265     21.67377790
 37383.63104461    267.49674866      4.63498122     21.50840262
 37388.29745279    267.46336257      4.63555978     21.35209386
 37392.96386098    267.42998482      4.63613834     21.20471398
 37397.63026917    267.39661539      4.63671690     21.06612173
 37402.29667736    267.36325429      4.63729546     20.93617235
 37406.96308555    267.32990151      4.63787402     20.81471772
 37411.62949374    267.29655706      4.63845258     20.70160648
 37416.29590192    267.26322092      4.63903114     20.59668420
 37420.96231011    267.22989309      4.63960970     20.49979359
 37425.62871830    267.19657358      4.64018827     20.41077468
 37430.29512649    267.16326237      4.64076683     20.32946508
 37434.96153468    267.12995947      4.64134539     20.25570018
 37439.62794287    267.09666487      4.64192395     20.18931348
 37444.29435105    267.06337857      4.64250251     20.13013682
 37448.96075924    267.03010056      4.64308107     20.07800071
 37453.62716743    266.99683085      4.64365963     20.03273466
 37458.29357562    266.96356943      4.64423819     19.99416749
 37462.95998381    266.93031629      4.64481675     19.96212769
 37467.62639200    266.89707143      4.64539532     19.93644379
 37472.29280018    266.86383486      4.64597388     19.91694475
 37476.95920837    266.83060656      4.64655244     19.90346030
 37481.62561656    266.79738654      4.64713100     19.89582138
 37486.29202475    266.76417478      4.64770956     19.89386054
 37490.95843294    266.73097129      4.64828812     19.89741233
 37495.62484113    266.69777607      4.64886668     19.90631373
 37500.29124931    266.66458911      4.64944524     19.92040456
 37504.95765750    266.63141041      4.65002380     19.93952793
 37509.62406569    266.59823996      4.65060237     19.96353061
 37514.29047388    266.56507777      4.65118093     19.99226352
 37518.95688207    266.53192382      4.65175949     20.02558207
 37523.62329026    266.49877812      4.65233805     20.06334663
 37528.28969844    266.46564067      4.65291661     20.10542289
 37532.95610663    266.43251145      4.65349517     20.15168228
 37537.62251482    266.39939047      4.65407373     20.20200235
 37542.28892301    266.36627772      4.65465229     20.25626710
 37546.95533120    266.33317321      4.65523085     20.31436737
 37551.62173939    266.30007692      4.65580941     20.37620115
 37556.28814757    266.26698885      4.65638798     20.44167387
 37560.95455576    266.23390901      4.65696654     20.51069868
 37565.62096395    266.20083739      4.65754510     20.58319675
 37570.28737214    266.16777398      4.65812366     20.65909741
 37574.95378033    266.13471878      4.65870222     20.73833838
 37579.62018852    266.10167180      4.65928078     20.82086592
 37584.28659670    266.06863301      4.65985934     20.90663490
 37588.95300489    266.03560244      4.66043790     20.99560890
 37593.61941308    266.00258006      4.66101646     21.08776021
 37598.28582127    265.96956588      4.66159503     21.18306978
 37602.95222946    265.93655989      4.66217359     21.28152715
 37607.61863765    265.90356209      4.66275215     21.38313033
 37612.28504583    265.87057248      4.66333071     21.48788555
 37616.95145402    265.83759106      4.66390927     21.59580706
 37621.61786221    265.80461782      4.66448783     21.70691677
 37626.28427040    265.77165276      4.66506639     21.82124393
 37630.95067859    265.73869587      4.66564495     21.93882462
 37635.61708678    265.70574715      4.66622351     22.05970131
 37640.28349496    265.67280661      4.66680208     22.18392227
 37644.94990315    265.63987423      4.66738064     22.31154095
 37649.61631134    265.60695001      4.66795920     22.44261530
 37654.28271953    265.57403396      4.66853776     22.57720703
 37658.94912772    265.54112606      4.66911632     22.71538080
 37663.61553591    265.50822632      4.66969488     22.85720336
 37668.28194409    265.47533472      4.67027344     23.00274269
 37672.94835228    265.44245128      4.67085200     23.15206699
 37677.61476047    265.40957598      4.67143056     23.30524375
 37682.28116866    265.37670883      4.67200913     23.46233868
 37686.94757685    265.34384981      4.67258769     23.62341470
 37691.61398503    265.31099893      4.67316625     23.78853081
 37696.28039322    265.27815618      4.67374481     23.95774102
 37700.94680141    265.24532156      4.67432337     24.13109329
 37705.61320960    265.21249507      4.67490193     24.30862833
 37710.27961779    265.17967671      4.67548049     24.49037858
 37714.94602598    265.14686646      4.67605905     24.67636711
 37719.61243416    265.11406434      4.67663761     24.86660654
 37724.27884235    265.08127032      4.67721618     25.06109801
 37728.94525054    265.04848442      4.67779474     25.25983021
 37733.61165873    265.01570663      4.67837330     25.46277842
 37738.27806692    264.98293695      4.67895186     25.66990365
 37742.94447511    264.95017537      4.67953042     25.88115180
 37747.61088329    264.91742189      4.68010898     26.09645289
