Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 22052.13559298    453.47081954      2.73411769      0.00840830
 22057.35273625    453.36356178      2.73476453      0.00836029
 22062.56987952    453.25635475      2.73541138      0.00831297
 22067.78702280    453.14919841      2.73605822      0.00826643
 22073.00416607    453.04209272      2.73670506      0.00822072
 22078.22130934    452.93503765      2.73735191      0.00817592
 22083.43845261    452.82803316      2.73799875      0.00813210
 22088.65559588    452.72107923      2.73864560      0.00808932
 22093.87273916    452.61417580      2.73929244      0.00804765
 22099.08988243    452.50732284      2.73993928      0.00800717
 22104.30702570    452.40052033      2.74058613      0.00796794
 22109.52416897    452.29376822      2.74123297      0.00793003
 22114.74131224    452.18706648      2.74187981      0.00789350
 22119.95845552    452.08041507      2.74252666      0.00785844
 22125.17559879    451.97381396      2.74317350      0.00782489
 22130.39274206    451.86726311      2.74382034      0.00779293
 22135.60988533    451.76076249      2.74446719      0.00776263
 22140.82702860    451.65431206      2.74511403      0.00773404
 22146.04417187    451.54791178      2.74576088      0.00770724
 22151.26131515    451.44156162      2.74640772      0.00768227
 22156.47845842    451.33526155      2.74705456      0.00765922
 22161.69560169    451.22901152      2.74770141      0.00763812
 22166.91274496    451.12281151      2.74834825      0.00761906
 22172.12988823    451.01666148      2.74899509      0.00760207
 22177.34703151    450.91056138      2.74964194      0.00758723
 22182.56417478    450.80451120      2.75028878      0.00757458
 22187.78131805    450.69851089      2.75093562      0.00756419
 22192.99846132    450.59256042      2.75158247      0.00755611
 22198.21560459    450.48665974      2.75222931      0.00755039
 22203.43274787    450.38080884      2.75287616      0.00754708
 22208.64989114    450.27500767      2.75352300      0.00754624
 22213.86703441    450.16925619      2.75416984      0.00754791
 22219.08417768    450.06355438      2.75481669      0.00755215
 22224.30132095    449.95790219      2.75546353      0.00755901
 22229.51846423    449.85229959      2.75611037      0.00756853
 22234.73560750    449.74674656      2.75675722      0.00758077
 22239.95275077    449.64124304      2.75740406      0.00759576
 22245.16989404    449.53578901      2.75805090      0.00761356
 22250.38703731    449.43038443      2.75869775      0.00763420
 22255.60418058    449.32502928      2.75934459      0.00765774
 22260.82132386    449.21972350      2.75999144      0.00768422
 22266.03846713    449.11446707      2.76063828      0.00771368
 22271.25561040    449.00925996      2.76128512      0.00774616
 22276.47275367    448.90410213      2.76193197      0.00778171
 22281.68989694    448.79899353      2.76257881      0.00782036
 22286.90704022    448.69393415      2.76322565      0.00786215
 22292.12418349    448.58892395      2.76387250      0.00790713
 22297.34132676    448.48396288      2.76451934      0.00795534
 22302.55847003    448.37905093      2.76516618      0.00800680
 22307.77561330    448.27418804      2.76581303      0.00806155
 22312.99275658    448.16937419      2.76645987      0.00811964
 22318.20989985    448.06460934      2.76710672      0.00818110
 22323.42704312    447.95989346      2.76775356      0.00824596
 22328.64418639    447.85522652      2.76840040      0.00831426
 22333.86132966    447.75060848      2.76904725      0.00838602
 22339.07847294    447.64603930      2.76969409      0.00846129
 22344.29561621    447.54151895      2.77034093      0.00854009
 22349.51275948    447.43704740      2.77098778      0.00862245
 22354.72990275    447.33262462      2.77163462      0.00870840
 22359.94704602    447.22825056      2.77228146      0.00879798
 22365.16418929    447.12392520      2.77292831      0.00889122
 22370.38133257    447.01964850      2.77357515      0.00898813
 22375.59847584    446.91542042      2.77422200      0.00908875
 22380.81561911    446.81124094      2.77486884      0.00919311
 22386.03276238    446.70711002      2.77551568      0.00930123
 22391.24990565    446.60302762      2.77616253      0.00941315
 22396.46704893    446.49899371      2.77680937      0.00952888
 22401.68419220    446.39500826      2.77745621      0.00964846
 22406.90133547    446.29107123      2.77810306      0.00977190
 22412.11847874    446.18718259      2.77874990      0.00989925
 22417.33562201    446.08334231      2.77939674      0.01003051
 22422.55276529    445.97955035      2.78004359      0.01016573
 22427.76990856    445.87580668      2.78069043      0.01030492
 22432.98705183    445.77211126      2.78133728      0.01044811
 22438.20419510    445.66846406      2.78198412      0.01059532
 22443.42133837    445.56486505      2.78263096      0.01074658
 22448.63848165    445.46131420      2.78327781      0.01090192
 22453.85562492    445.35781146      2.78392465      0.01106136
 22459.07276819    445.25435681      2.78457149      0.01122493
 22464.28991146    445.15095022      2.78521834      0.01139264
 22469.50705473    445.04759164      2.78586518      0.01156453
 22474.72419801    444.94428105      2.78651202      0.01174061
 22479.94134128    444.84101841      2.78715887      0.01192091
 22485.15848455    444.73780369      2.78780571      0.01210545
 22490.37562782    444.63463685      2.78845256      0.01229425
 22495.59277109    444.53151787      2.78909940      0.01248733
 22500.80991436    444.42844671      2.78974624      0.01268471
 22506.02705764    444.32542334      2.79039309      0.01288641
 22511.24420091    444.22244771      2.79103993      0.01309244
 22516.46134418    444.11951981      2.79168677      0.01330282
 22521.67848745    444.01663959      2.79233362      0.01351756
 22526.89563072    443.91380703      2.79298046      0.01373667
 22532.11277400    443.81102209      2.79362731      0.01396017
 22537.32991727    443.70828473      2.79427415      0.01418805
 22542.54706054    443.60559493      2.79492099      0.01442033
 22547.76420381    443.50295265      2.79556784      0.01465701
 22552.98134708    443.40035786      2.79621468      0.01489809
 22558.19849036    443.29781052      2.79686152      0.01514356
 22563.41563363    443.19531060      2.79750837      0.01539344
 22568.63277690    443.09285808      2.79815521      0.01564771
 22573.84992017    442.99045291      2.79880205      0.01590636
 22579.06706344    442.88809506      2.79944890      0.01616939
 22584.28420672    442.78578451      2.80009574      0.01643678
 22589.50134999    442.68352121      2.80074259      0.01670851
 22594.71849326    442.58130514      2.80138943      0.01698459
 22599.93563653    442.47913626      2.80203627      0.01726497
 22605.15277980    442.37701454      2.80268312      0.01754965
 22610.36992307    442.27493995      2.80332996      0.01783860
 22615.58706635    442.17291245      2.80397680      0.01813179
 22620.80420962    442.07093202      2.80462365      0.01842920
 22626.02135289    441.96899862      2.80527049      0.01873080
 22631.23849616    441.86711221      2.80591733      0.01903655
 22636.45563943    441.76527277      2.80656418      0.01934642
 22641.67278271    441.66348025      2.80721102      0.01966037
 22646.88992598    441.56173464      2.80785787      0.01997836
 22652.10706925    441.46003590      2.80850471      0.02030035
 22657.32421252    441.35838399      2.80915155      0.02062629
 22662.54135579    441.25677888      2.80979840      0.02095614
 22667.75849907    441.15522055      2.81044524      0.02128984
 22672.97564234    441.05370895      2.81109208      0.02162735
 22678.19278561    440.95224406      2.81173893      0.02196859
 22683.40992888    440.85082584      2.81238577      0.02231351
 22688.62707215    440.74945426      2.81303261      0.02266205
 22693.84421543    440.64812929      2.81367946      0.02301414
 22699.06135870    440.54685090      2.81432630      0.02336970
 22704.27850197    440.44561906      2.81497315      0.02372865
 22709.49564524    440.34443372      2.81561999      0.02409092
 22714.71278851    440.24329487      2.81626683      0.02445642
 22719.92993179    440.14220246      2.81691368      0.02482505
 22725.14707506    440.04115648      2.81756052      0.02519673
 22730.36421833    439.94015687      2.81820736      0.02557134
 22735.58136160    439.83920362      2.81885421      0.02594878
 22740.79850487    439.73829669      2.81950105      0.02632895
 22746.01564814    439.63743605      2.82014789      0.02671172
 22751.23279142    439.53662167      2.82079474      0.02709696
 22756.44993469    439.43585351      2.82144158      0.02748457
 22761.66707796    439.33513155      2.82208843      0.02787439
 22766.88422123    439.23445575      2.82273527      0.02826629
 22772.10136450    439.13382608      2.82338211      0.02866013
 22777.31850778    439.03324250      2.82402896      0.02905576
 22782.53565105    438.93270500      2.82467580      0.02945302
 22787.75279432    438.83221353      2.82532264      0.02985176
 22792.96993759    438.73176806      2.82596949      0.03025181
 22798.18708086    438.63136856      2.82661633      0.03065301
 22803.40422414    438.53101501      2.82726317      0.03105518
 22808.62136741    438.43070736      2.82791002      0.03145815
 22813.83851068    438.33044559      2.82855686      0.03186174
 22819.05565395    438.23022967      2.82920371      0.03226577
 22824.27279722    438.13005956      2.82985055      0.03267005
 22829.48994050    438.02993523      2.83049739      0.03307440
 22834.70708377    437.92985666      2.83114424      0.03347862
