Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 22657.52123086    441.35453546      2.80917563      0.03482291
 22667.52623336    441.15973021      2.81041609      0.03548634
 22677.53123586    440.96509684      2.81165656      0.03614925
 22687.53623836    440.77063514      2.81289702      0.03681089
 22697.54124086    440.57634488      2.81413748      0.03747047
 22707.54624336    440.38222582      2.81537794      0.03812718
 22717.55124586    440.18827775      2.81661841      0.03878022
 22727.55624836    439.99450043      2.81785887      0.03942877
 22737.56125087    439.80089365      2.81909933      0.04007200
 22747.56625337    439.60745718      2.82033979      0.04070908
 22757.57125587    439.41419078      2.82158026      0.04133916
 22767.57625837    439.22109425      2.82282072      0.04196141
 22777.58126087    439.02816735      2.82406118      0.04257499
 22787.58626337    438.83540986      2.82530164      0.04317905
 22797.59126587    438.64282156      2.82654211      0.04377276
 22807.59626837    438.45040222      2.82778257      0.04435528
 22817.60127088    438.25815163      2.82902303      0.04492580
 22827.60627338    438.06606956      2.83026350      0.04548349
 22837.61127588    437.87415579      2.83150396      0.04602754
 22847.61627838    437.68241009      2.83274442      0.04655719
 22857.62128088    437.49083226      2.83398488      0.04707163
 22867.62628338    437.29942206      2.83522535      0.04757013
 22877.63128588    437.10817928      2.83646581      0.04805195
 22887.63628838    436.91710370      2.83770627      0.04851637
 22897.64129089    436.72619509      2.83894673      0.04896272
 22907.64629339    436.53545325      2.84018720      0.04939032
 22917.65129589    436.34487795      2.84142766      0.04979855
 22927.65629839    436.15446897      2.84266812      0.05018682
 22937.66130089    435.96422610      2.84390858      0.05055457
 22947.66630339    435.77414912      2.84514905      0.05090125
 22957.67130589    435.58423781      2.84638951      0.05122640
 22967.67630839    435.39449195      2.84762997      0.05152955
 22977.68131090    435.20491133      2.84887044      0.05181031
 22987.68631340    435.01549574      2.85011090      0.05206832
 22997.69131590    434.82624496      2.85135136      0.05230325
 23007.69631840    434.63715877      2.85259182      0.05251485
 23017.70132090    434.44823695      2.85383229      0.05270289
 23027.70632340    434.25947930      2.85507275      0.05286721
 23037.71132590    434.07088561      2.85631321      0.05300769
 23047.71632840    433.88245565      2.85755367      0.05312428
 23057.72133091    433.69418921      2.85879414      0.05321696
 23067.72633341    433.50608608      2.86003460      0.05328579
 23077.73133591    433.31814605      2.86127506      0.05333087
 23087.73633841    433.13036891      2.86251552      0.05335236
 23097.74134091    432.94275444      2.86375599      0.05335049
 23107.74634341    432.75530244      2.86499645      0.05332554
 23117.75134591    432.56801269      2.86623691      0.05327784
 23127.75634841    432.38088498      2.86747738      0.05320780
 23137.76135092    432.19391911      2.86871784      0.05311586
 23147.76635342    432.00711485      2.86995830      0.05300255
 23157.77135592    431.82047201      2.87119876      0.05286843
 23167.77635842    431.63399037      2.87243923      0.05271414
 23177.78136092    431.44766973      2.87367969      0.05254037
 23187.78636342    431.26150987      2.87492015      0.05234786
 23197.79136592    431.07551059      2.87616061      0.05213742
 23207.79636842    430.88967168      2.87740108      0.05190989
 23217.80137093    430.70399293      2.87864154      0.05166620
 23227.80637343    430.51847414      2.87988200      0.05140729
 23237.81137593    430.33311510      2.88112246      0.05113420
 23247.81637843    430.14791561      2.88236293      0.05084796
 23257.82138093    429.96287545      2.88360339      0.05054971
 23267.82638343    429.77799442      2.88484385      0.05024058
 23277.83138593    429.59327232      2.88608432      0.04992178
 23287.83638843    429.40870894      2.88732478      0.04959456
 23297.84139094    429.22430408      2.88856524      0.04926018
 23307.84639344    429.04005753      2.88980570      0.04891998
 23317.85139594    428.85596909      2.89104617      0.04857529
 23327.85639844    428.67203856      2.89228663      0.04822752
 23337.86140094    428.48826573      2.89352709      0.04787807
 23347.86640344    428.30465040      2.89476755      0.04752839
 23357.87140594    428.12119237      2.89600802      0.04717995
 23367.87640844    427.93789144      2.89724848      0.04683424
 23377.88141095    427.75474740      2.89848894      0.04649277
 23387.88641345    427.57176005      2.89972940      0.04615708
 23397.89141595    427.38892919      2.90096987      0.04582871
 23407.89641845    427.20625463      2.90221033      0.04550922
 23417.90142095    427.02373615      2.90345079      0.04520018
 23427.90642345    426.84137357      2.90469126      0.04490315
 23437.91142595    426.65916667      2.90593172      0.04461972
 23447.91642845    426.47711527      2.90717218      0.04435147
 23457.92143096    426.29521917      2.90841264      0.04409998
 23467.92643346    426.11347815      2.90965311      0.04386682
 23477.93143596    425.93189204      2.91089357      0.04365356
 23487.93643846    425.75046062      2.91213403      0.04346176
 23497.94144096    425.56918370      2.91337449      0.04329298
 23507.94644346    425.38806108      2.91461496      0.04314874
 23517.95144596    425.20709257      2.91585542      0.04303057
 23527.95644846    425.02627797      2.91709588      0.04293997
 23537.96145097    424.84561709      2.91833634      0.04287842
 23547.96645347    424.66510972      2.91957681      0.04284738
 23557.97145597    424.48475567      2.92081727      0.04284828
 23567.97645847    424.30455475      2.92205773      0.04288253
 23577.98146097    424.12450676      2.92329820      0.04295150
 23587.98646347    423.94461151      2.92453866      0.04305653
 23597.99146597    423.76486880      2.92577912      0.04319895
 23607.99646847    423.58527844      2.92701958      0.04338002
 23618.00147098    423.40584024      2.92826005      0.04360099
 23628.00647348    423.22655400      2.92950051      0.04386306
 23638.01147598    423.04741952      2.93074097      0.04416738
 23648.01647848    422.86843663      2.93198143      0.04451507
 23658.02148098    422.68960511      2.93322190      0.04490721
 23668.02648348    422.51092479      2.93446236      0.04534482
 23678.03148598    422.33239547      2.93570282      0.04582888
 23688.03648848    422.15401696      2.93694328      0.04636032
 23698.04149099    421.97578907      2.93818375      0.04694002
 23708.04649349    421.79771161      2.93942421      0.04756881
 23718.05149599    421.61978438      2.94066467      0.04824745
 23728.05649849    421.44200720      2.94190514      0.04897667
 23738.06150099    421.26437987      2.94314560      0.04975712
 23748.06650349    421.08690222      2.94438606      0.05058940
 23758.07150599    420.90957404      2.94562652      0.05147406
 23768.07650849    420.73239515      2.94686699      0.05241156
 23778.08151100    420.55536537      2.94810745      0.05340233
 23788.08651350    420.37848450      2.94934791      0.05444670
 23798.09151600    420.20175235      2.95058837      0.05554496
 23808.09651850    420.02516874      2.95182884      0.05669732
 23818.10152100    419.84873348      2.95306930      0.05790392
 23828.10652350    419.67244639      2.95430976      0.05916482
 23838.11152600    419.49630728      2.95555022      0.06048003
 23848.11652850    419.32031595      2.95679069      0.06184946
 23858.12153101    419.14447223      2.95803115      0.06327296
 23868.12653351    418.96877593      2.95927161      0.06475027
 23878.13153601    418.79322687      2.96051208      0.06628109
 23888.13653851    418.61782485      2.96175254      0.06786501
 23898.14154101    418.44256970      2.96299300      0.06950155
 23908.14654351    418.26746123      2.96423346      0.07119013
 23918.15154601    418.09249926      2.96547393      0.07293009
 23928.15654851    417.91768360      2.96671439      0.07472068
 23938.16155102    417.74301407      2.96795485      0.07656106
 23948.16655352    417.56849048      2.96919531      0.07845029
 23958.17155602    417.39411266      2.97043578      0.08038735
 23968.17655852    417.21988042      2.97167624      0.08237112
 23978.18156102    417.04579357      2.97291670      0.08440037
 23988.18656352    416.87185195      2.97415716      0.08647378
 23998.19156602    416.69805535      2.97539763      0.08858994
 24008.19656852    416.52440362      2.97663809      0.09074733
 24018.20157103    416.35089655      2.97787855      0.09294433
 24028.20657353    416.17753397      2.97911902      0.09517922
 24038.21157603    416.00431571      2.98035948      0.09745018
 24048.21657853    415.83124158      2.98159994      0.09975529
 24058.22158103    415.65831140      2.98284040      0.10209253
 24068.22658353    415.48552499      2.98408087      0.10445977
 24078.23158603    415.31288217      2.98532133      0.10685478
 24088.23658853    415.14038277      2.98656179      0.10927523
 24098.24159104    414.96802660      2.98780225      0.11171871
 24108.24659354    414.79581349      2.98904272      0.11418270
 24118.25159604    414.62374326      2.99028318      0.11666457
 24128.25659854    414.45181573      2.99152364      0.11916161
 24138.26160104    414.28003072      2.99276410      0.12167103
 24148.26660354    414.10838806      2.99400457      0.12418994
 24158.27160604    413.93688757      2.99524503      0.12671535
 24168.27660854    413.76552907      2.99648549      0.12924423
 24178.28161105    413.59431239      2.99772596      0.13177344
 24188.28661355    413.42323734      2.99896642      0.13429977
 24198.29161605    413.25230377      3.00020688      0.13681995
 24208.29661855    413.08151148      3.00144734      0.13933066
 24218.30162105    412.91086031      3.00268781      0.14182849
 24228.30662355    412.74035008      3.00392827      0.14431000
 24238.31162605    412.56998061      3.00516873      0.14677172
 24248.31662855    412.39975173      3.00640919      0.14921010
 24258.32163106    412.22966327      3.00764966      0.15162161
 24268.32663356    412.05971506      3.00889012      0.15400266
 24278.33163606    411.88990691      3.01013058      0.15634966
 24288.33663856    411.72023866      3.01137104      0.15865900
 24298.34164106    411.55071014      3.01261151      0.16092709
 24308.34664356    411.38132117      3.01385197      0.16315034
 24318.35164606    411.21207157      3.01509243      0.16532517
 24328.35664856    411.04296118      3.01633290      0.16744805
 24338.36165107    410.87398983      3.01757336      0.16951548
 24348.36665357    410.70515735      3.01881382      0.17152399
 24358.37165607    410.53646355      3.02005428      0.17347020
 24368.37665857    410.36790828      3.02129475      0.17535076
 24378.38166107    410.19949136      3.02253521      0.17716244
 24388.38666357    410.03121262      3.02377567      0.17890207
 24398.39166607    409.86307190      3.02501613      0.18056658
