Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 21052.96266032    474.99251858      2.61023565      0.01323158
 21062.96766282    474.76689504      2.61147611      0.01328281
 21072.97266532    474.54148574      2.61271657      0.01332736
 21082.97766782    474.31629038      2.61395704      0.01336523
 21092.98267032    474.09130865      2.61519750      0.01339648
 21102.98767282    473.86654026      2.61643796      0.01342114
 21112.99267532    473.64198488      2.61767843      0.01343930
 21122.99767782    473.41764224      2.61891889      0.01345103
 21133.00268033    473.19351201      2.62015935      0.01345643
 21143.00768283    472.96959390      2.62139981      0.01345563
 21153.01268533    472.74588761      2.62264028      0.01344874
 21163.01768783    472.52239284      2.62388074      0.01343591
 21173.02269033    472.29910929      2.62512120      0.01341729
 21183.02769283    472.07603666      2.62636166      0.01339303
 21193.03269533    471.85317464      2.62760213      0.01336331
 21203.03769783    471.63052295      2.62884259      0.01332832
 21213.04270034    471.40808129      2.63008305      0.01328823
 21223.04770284    471.18584935      2.63132351      0.01324325
 21233.05270534    470.96382684      2.63256398      0.01319358
 21243.05770784    470.74201347      2.63380444      0.01313945
 21253.06271034    470.52040893      2.63504490      0.01308106
 21263.06771284    470.29901295      2.63628537      0.01301865
 21273.07271534    470.07782521      2.63752583      0.01295246
 21283.07771784    469.85684543      2.63876629      0.01288273
 21293.08272035    469.63607332      2.64000675      0.01280971
 21303.08772285    469.41550857      2.64124722      0.01273366
 21313.09272535    469.19515091      2.64248768      0.01265485
 21323.09772785    468.97500003      2.64372814      0.01257355
 21333.10273035    468.75505565      2.64496860      0.01249004
 21343.10773285    468.53531748      2.64620907      0.01240463
 21353.11273535    468.31578522      2.64744953      0.01231760
 21363.11773785    468.09645859      2.64868999      0.01222927
 21373.12274036    467.87733730      2.64993045      0.01213996
 21383.12774286    467.65842106      2.65117092      0.01204999
 21393.13274536    467.43970958      2.65241138      0.01195971
 21403.13774786    467.22120258      2.65365184      0.01186947
 21413.14275036    467.00289977      2.65489231      0.01177961
 21423.14775286    466.78480086      2.65613277      0.01169052
 21433.15275536    466.56690557      2.65737323      0.01160256
 21443.15775786    466.34921360      2.65861369      0.01151612
 21453.16276037    466.13172469      2.65985416      0.01143161
 21463.16776287    465.91443854      2.66109462      0.01134941
 21473.17276537    465.69735487      2.66233508      0.01126995
 21483.17776787    465.48047340      2.66357554      0.01119365
 21493.18277037    465.26379385      2.66481601      0.01112093
 21503.18777287    465.04731592      2.66605647      0.01105223
 21513.19277537    464.83103935      2.66729693      0.01098799
 21523.19777787    464.61496385      2.66853739      0.01092864
 21533.20278038    464.39908915      2.66977786      0.01087465
 21543.20778288    464.18341495      2.67101832      0.01082645
 21553.21278538    463.96794098      2.67225878      0.01078451
 21563.21778788    463.75266697      2.67349925      0.01074929
 21573.22279038    463.53759263      2.67473971      0.01072123
 21583.22779288    463.32271769      2.67598017      0.01070079
 21593.23279538    463.10804187      2.67722063      0.01068843
 21603.23779788    462.89356490      2.67846110      0.01068461
 21613.24280039    462.67928649      2.67970156      0.01068976
 21623.24780289    462.46520637      2.68094202      0.01070434
 21633.25280539    462.25132427      2.68218248      0.01072879
 21643.25780789    462.03763991      2.68342295      0.01076355
 21653.26281039    461.82415302      2.68466341      0.01080904
 21663.26781289    461.61086333      2.68590387      0.01086569
 21673.27281539    461.39777055      2.68714433      0.01093391
 21683.27781789    461.18487443      2.68838480      0.01101413
 21693.28282040    460.97217468      2.68962526      0.01110672
 21703.28782290    460.75967103      2.69086572      0.01121210
 21713.29282540    460.54736322      2.69210619      0.01133063
 21723.29782790    460.33525097      2.69334665      0.01146269
 21733.30283040    460.12333402      2.69458711      0.01160863
 21743.30783290    459.91161209      2.69582757      0.01176882
 21753.31283540    459.70008491      2.69706804      0.01194359
 21763.31783790    459.48875222      2.69830850      0.01213326
 21773.32284041    459.27761375      2.69954896      0.01233816
 21783.32784291    459.06666923      2.70078942      0.01255857
 21793.33284541    458.85591839      2.70202989      0.01279479
 21803.33784791    458.64536097      2.70327035      0.01304710
 21813.34285041    458.43499670      2.70451081      0.01331575
 21823.34785291    458.22482531      2.70575127      0.01360099
 21833.35285541    458.01484654      2.70699174      0.01390304
 21843.35785791    457.80506013      2.70823220      0.01422213
 21853.36286042    457.59546581      2.70947266      0.01455845
 21863.36786292    457.38606331      2.71071313      0.01491217
 21873.37286542    457.17685238      2.71195359      0.01528346
 21883.37786792    456.96783275      2.71319405      0.01567245
 21893.38287042    456.75900416      2.71443451      0.01607927
 21903.38787292    456.55036635      2.71567498      0.01650402
 21913.39287542    456.34191905      2.71691544      0.01694676
 21923.39787792    456.13366200      2.71815590      0.01740756
 21933.40288043    455.92559495      2.71939636      0.01788643
 21943.40788293    455.71771764      2.72063683      0.01838339
 21953.41288543    455.51002980      2.72187729      0.01889840
 21963.41788793    455.30253117      2.72311775      0.01943140
 21973.42289043    455.09522151      2.72435821      0.01998232
